id,text,cleaned_text_with_stop_words_removal,label
1807053896587919743,"We should consider dismantling provincial structures and empowering local governments further.\n\nWith directly elected local bodies, there's little need for this kind of an intermediary level of government.\n#Nepal #Governance",consid dismantl provinci structur empow local govern furthernnwith directli elect local bodi there littl need kind intermediari level governmentn,neutral
1807031275989114981,"Those joining in insurance online will be required to provide a national identity card according to the government's new policy. Until this is implemented, membership through the ward office was granted based on citizenship.\nhttps://t.co/8ZESZcxJZ6",join insur onlin requir provid nation ident card accord govern new polici implement membership ward offic grant base citizenshipn,positive
1807030978554269711,"Minister Aryal also requested the provincial and local governments to support the skill-based programs, while inaugurating the 'Youth Skill Training and Employment Fair' at Nilakantha Municipality of Dhading on Friday.\nhttps://t.co/diHIxq9IbP",minist aryal also request provinci local govern support skillbas program inaugur youth skill train employ fair nilakantha municip dhade fridayn,positive
1807029744837300466,"\xf0\x9f\x8c\xbe Happy National Paddy Day (Aasar 15) \xf0\x9f\x8c\xbe Snapshots from our event in #Kapilvastu, organized by WHH Nepal with partners and local government. Thanks to farmers, youth, and cooperatives for their participation! #NationalPaddyDay #ClimateSmartAgriculture #SustainableFarming https://t.co/0r7vDrQxGX",xf0x9fx8cxbe happi nation paddi day aasar 15 xf0x9fx8cxbe snapshot event organ whh nepal partner local govern thank farmer youth cooper particip,positive
1806998724926755034,"Climate action plans and targets set by the Nepal government, guided by scientific recommendations, often come with the caveat that they can only be achieved if international support arrives to protect vulnerable communities.\n\n@tankadhakal: \nhttps://t.co/xIl5t4KNQ0",climat action plan target set nepal govern guid scientif recommend often come caveat achiev intern support arriv protect vulner communitiesnn n,positive
1806979338518040829,\xf0\x9d\x97\x94\xf0\x9d\x97\x9f\xf0\x9d\x97\x98\xf0\x9d\x97\xa5\xf0\x9d\x97\xa7\n#Chinese Intelligence plants spies through corporate networks. MSS agents who entered #Nepal as workers eventually managed a lot of politicians &amp; projects. #Indian government shall prevent corporates from bringing Chinese workers to safe guard National Security. https://t.co/rY9yYJ0O7Z,xf0x9dx97x94xf0x9dx97x9fxf0x9dx97x98xf0x9dx97xa5xf0x9dx97xa7n intellig plant spi corpor network mss agent enter worker eventu manag lot politician amp project govern shall prevent corpor bring chines worker safe guard nation secur,positive
1806967325632938259,Prime Minister Pushpa Kamal Dahal \xe2\x80\x98Prachanda\xe2\x80\x99 has stated that the government is actively working towards making Nepal self-sufficient in rice and other food grains.\nhttps://t.co/ONDX7gCnxM\n#Khabarhub #national #PMDahal #Sufficiencyinfoodgrains,prime minist pushpa kamal dahal xe2x80x98prachandaxe2x80x99 state govern activ work toward make nepal selfsuffici rice food grainsn,positive
1806951873452318981,"@BishowParajuli @ekantipur_com @K6rameshKumar They were available with government subsidiary. Yet, MRTP are not cost-effective for small-scale farmers due to the ROI . Large-scale farming, which is necessary to justify the expense of such machinery, is not yet common in Nepal.",avail govern subsidiari yet mrtp costeffect smallscal farmer due roi largescal farm necessari justifi expens machineri yet common nepal,neutral
1806946765171495252,"Prime Minister Dahal reminded that the government had announced the agriculture-decade program in its policies, programs, and budget in a bid to reduce production costs and increase productivity.\n\n#nepalviews #nepalviewsenglish #PMDahal #chitwan #paddy\n\nhttps://t.co/H7ykxHoY8S",prime minist dahal remind govern announc agriculturedecad program polici program budget bid reduc product cost increas productivitynn nn,positive
1806938082614346067,I believe the current building construction practices in Nepal are not optimal or efficient. Adopting pre-stressed and pre-cast technology could significantly reduce costs and improve quality. Both the government and the private sector should seriously consider this agenda.,believ current build construct practic nepal optim effici adopt prestress precast technolog could significantli reduc cost improv qualiti govern privat sector serious consid agenda,negative
1806931293273251939,Prime Minister Dahal said the government has given priority to research and development and promoting climate-friendly technology.\n\n#nepalviews #nepalviewsenglish #PrimeMinisterDahal #paddy #plantation\n\nhttps://t.co/80gbBqw65U,prime minist dahal said govern given prioriti research develop promot climatefriendli technologynn nn,positive
1806927387738722512,@iambdxoul Btw what is universal government verified ID in Nepal? Like we have aadhar card in india,btw univers govern verifi id nepal like aadhar card india,positive
